,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
5347,2,201504080,boxscore,BOS,@,PHI,L,2,4,,1-1,2, 0.5,Harang,Porcello,Papelbon,2:54,N,"26,465",-,,False
5348,3,201504090,boxscore,BOS,@,PHI,W,6,2,,2-1,1, Tied,Masterson,Buchanan,,3:08,N,"23,418",+,,False
5349,4,201504100,boxscore,BOS,@,NYY,W,6,5,19,3-1,1, Tied,Wright,Rogers,,6:49,N,"41,292",++,,False
5350,5,201504110,boxscore,BOS,@,NYY,W,8,4,,4-1,1,up 1.0,Kelly,Warren,,3:13,D,"46,678",+++,,False
5351,6,201504120,boxscore,BOS,@,NYY,L,4,14,,4-2,1, Tied,Tanaka,Buchholz,,3:24,N,"43,019",-,,False
5352,7,201504130,boxscore,BOS,,WSN,W,9,4,,5-2,1,up 1.0,Porcello,Zimmermann,,3:01,D,"37,203",+,,True
5353,8,201504140,boxscore,BOS,,WSN,W,8,7,,6-2,1,up 1.0,Mujica,Treinen,Uehara,3:23,N,"35,258",++,,True
5354,9,201504150,boxscore,BOS,,WSN,L,5,10,,6-3,1,up 1.0,Gonzalez,Miley,,3:08,D,"33,493",-,,True
5355,10,201504170,boxscore,BOS,,BAL,W-wo,3,2,,7-3,1,up 1.5,Uehara,Matusz,,3:13,N,"34,341",+,,True
5356,11,201504180,boxscore,BOS,,BAL,L,1,4,,7-4,1,up 1.0,Tillman,Buchholz,Britton,3:24,D,"37,655",-,,True
5357,12,201504190,boxscore,BOS,,BAL,L,3,8,,7-5,1, Tied,Gonzalez,Porcello,,3:14,D,"37,761",--,,True
5358,13,201504200,boxscore,BOS,,BAL,W,7,1,7,8-5,1,up 1.0,Masterson,Chen,,2:21,D,"36,829",+,,True
5359,14,201504210,boxscore,BOS,@,TBR,W,1,0,,9-5,1,up 2.0,Miley,Archer,Uehara,2:48,N,"14,307",++,,False
5360,15,201504220,boxscore,BOS,@,TBR,L,5,7,,9-6,1,up 1.0,Boxberger,Mujica,Geltz,3:10,N,"12,733",-,,False
5361,16,201504230,boxscore,BOS,@,TBR,L-wo,1,2,,9-7,1, Tied,Boxberger,Varvaro,,3:00,N,"13,834",--,,False
5362,17,201504240,boxscore,BOS,@,BAL,W,7,5,,10-7,1, Tied,Ogando,Matusz,Uehara,3:29,N,"37,359",+,,False
5363,18,201504250,boxscore,BOS,@,BAL,L-wo,4,5,10,10-8,1, Tied,Matusz,Uehara,,2:57,N,"36,757",-,,False
5364,19,201504260,boxscore,BOS,@,BAL,L,7,18,,10-9,3, 1.0,Norris,Miley,,3:13,D,"43,802",--,,False
5365,20,201504270,boxscore,BOS,,TOR,W-wo,6,5,,11-9,2, 1.0,Uehara,Castro,,2:48,N,"34,739",+,,True
5366,21,201504280,boxscore,BOS,,TOR,L,8,11,,11-10,2, 2.0,Estrada,Buchholz,Cecil,4:01,N,"33,920",-,,True
5367,22,201504290,boxscore,BOS,,TOR,W,4,1,,12-10,2, 1.0,Porcello,Dickey,Uehara,2:43,N,"34,220",+,,True
5368,23,201505010,boxscore,BOS,,NYY,L,2,3,,12-11,3, 2.0,Rogers,Tazawa,Miller,3:14,N,"35,444",-,,True
5369,24,201505020,boxscore,BOS,,NYY,L,2,4,,12-12,3, 3.0,Eovaldi,Miley,Betances,2:44,D,"36,611",--,,True
5370,25,201505030,boxscore,BOS,,NYY,L,5,8,,12-13,4, 4.0,Warren,Kelly,Miller,3:52,N,"33,198",---,,True
5371,26,201505040,boxscore,BOS,,TBR,L,1,5,,12-14,5, 4.0,Odorizzi,Buchholz,,3:10,N,"34,541",----,,True
5372,27,201505050,boxscore,BOS,,TBR,W,2,0,,13-14,4, 4.0,Porcello,Smyly,Uehara,2:26,N,"33,688",+,,True
5373,28,201505060,boxscore,BOS,,TBR,L,3,5,,13-15,5, 4.0,Colome,Masterson,Boxberger,3:22,N,"35,060",-,,True
5374,29,201505080,boxscore,BOS,@,TOR,L,0,7,,13-16,4, 5.5,Sanchez,Miley,,2:41,N,"30,430",--,,False
5375,30,201505090,boxscore,BOS,@,TOR,L,1,7,,13-17,5, 5.5,Hutchison,Kelly,,3:12,D,"42,917",---,,False
5376,31,201505100,boxscore,BOS,@,TOR,W,6,3,,14-17,4, 5.5,Buchholz,Dickey,Uehara,2:38,D,"42,419",+,,False
5377,32,201505110,boxscore,BOS,@,OAK,W,5,4,11,15-17,4, 5.5,Barnes,Castro,,3:57,N,"19,743",++,,False
5378,33,201505120,boxscore,BOS,@,OAK,L,2,9,,15-18,4, 5.5,Pomeranz,Masterson,,2:32,N,"24,605",-,,False
5379,34,201505130,boxscore,BOS,@,OAK,W,2,0,,16-18,4, 4.5,Miley,Gray,Uehara,2:33,D,"22,389",+,,False
5380,35,201505140,boxscore,BOS,@,SEA,W,2,1,,17-18,3, 3.5,Barnes,Rodney,Uehara,2:53,N,"20,172",++,,False
5381,36,201505150,boxscore,BOS,@,SEA,L-wo,1,2,,17-19,3, 3.5,Wilhelmsen,Layne,,2:32,N,"39,477",-,,False
5382,37,201505160,boxscore,BOS,@,SEA,W,4,2,,18-19,3, 3.5,Porcello,Hernandez,Uehara,2:48,N,"45,055",+,,False
5383,38,201505170,boxscore,BOS,@,SEA,L,0,5,,18-20,3, 3.5,Paxton,Wright,,2:31,D,"39,936",-,,False
5384,39,201505190,boxscore,BOS,,TEX,W,4,3,,19-20,3, 2.5,Miley,Gallardo,Uehara,2:50,N,"36,580",+,,True
5385,40,201505200,boxscore,BOS,,TEX,L,1,2,,19-21,3, 2.5,Klein,Kelly,Tolleson,3:13,N,"35,726",-,,True
5386,41,201505210,boxscore,BOS,,TEX,L,1,3,,19-22,4, 3.5,Rodriguez,Buchholz,Tolleson,2:49,N,"34,945",--,,True
5387,42,201505220,boxscore,BOS,,LAA,L,5,12,,19-23,4, 4.5,Richards,Porcello,,3:35,N,"36,150",---,,True
5388,43,201505230,boxscore,BOS,,LAA,W,8,3,,20-23,4, 3.5,Wright,Wilson,,3:09,N,"37,735",+,,True
5389,44,201505240,boxscore,BOS,,LAA,W,6,1,,21-23,3, 2.5,Miley,Santiago,,2:37,D,"37,742",++,,True
5390,45,201505250,boxscore,BOS,@,MIN,L,2,7,,21-24,4, 2.5,Nolasco,Kelly,,2:52,D,"29,472",-,,False
5391,46,201505260,boxscore,BOS,@,MIN,L,1,2,,21-25,4, 3.0,Pelfrey,Buchholz,Perkins,2:36,N,"23,268",--,,False
5392,47,201505270,boxscore,BOS,@,MIN,L,4,6,,21-26,4, 4.0,Hughes,Porcello,Perkins,2:29,D,"30,027",---,,False
5393,48,201505280,boxscore,BOS,@,TEX,W,5,1,,22-26,4, 3.0,Rodriguez,Martinez,,2:49,N,"34,085",+,,False
5394,49,201505290,boxscore,BOS,@,TEX,L,4,7,,22-27,5, 3.0,Gallardo,Wright,Tolleson,2:59,N,"38,176",-,,False
5395,50,201505300,boxscore,BOS,@,TEX,L,0,8,,22-28,5, 4.0,Gonzalez,Miley,,2:49,N,"42,831",--,,False
5396,51,201505310,boxscore,BOS,@,TEX,L-wo,3,4,,22-29,5, 4.0,Ohlendorf,Uehara,,3:16,D,"32,848",---,,False
5397,52,201506020,boxscore,BOS,,MIN,W,1,0,,23-29,4, 4.5,Buchholz,Pelfrey,Uehara,2:21,N,"32,622",+,,True
5398,53,201506031,boxscore,BOS,,MIN,W,6,3,,24-29,4, 5.0,Rodriguez,Hughes,,2:33,D,"31,704",++,,True
5399,54,201506032,boxscore,BOS,,MIN,L,0,2,,24-30,4, 5.0,May,Porcello,Perkins,2:15,N,"33,291",-,2015-06-01 (Rain),True
5400,55,201506040,boxscore,BOS,,MIN,L,4,8,,24-31,5, 5.5,Thompson,Uehara,,3:12,D,"33,615",--,,True
5401,56,201506050,boxscore,BOS,,OAK,W,4,2,,25-31,5, 5.5,Miley,Kazmir,Uehara,2:31,N,"34,910",+,,True
5402,57,201506060,boxscore,BOS,,OAK,W,4,2,,26-31,4, 5.5,Kelly,Chavez,Uehara,3:10,D,"36,713",++,,True
5403,58,201506070,boxscore,BOS,,OAK,W,7,4,,27-31,4, 5.5,Wright,Clippard,Layne,3:11,D,"36,913",+++,,True
5404,59,201506090,boxscore,BOS,@,BAL,L,0,1,,27-32,5, 6.5,Roe,Barnes,Britton,3:08,N,"28,460",-,,False
5405,60,201506100,boxscore,BOS,@,BAL,L,2,5,,27-33,5, 6.5,Chen,Porcello,O'Day,2:36,N,"22,201",--,,False
5406,61,201506110,boxscore,BOS,@,BAL,L,5,6,,27-34,5, 7.0,Tillman,Miley,Britton,2:39,N,"22,840",---,,False
5407,62,201506120,boxscore,BOS,,TOR,L,10,13,,27-35,5, 7.0,Delabar,Tazawa,Cecil,3:24,N,"37,575",----,,True
5408,63,201506130,boxscore,BOS,,TOR,L,4,5,11,27-36,5, 7.0,Loup,Barnes,Cecil,3:26,D,"37,158",-----,,True
5409,64,201506140,boxscore,BOS,,TOR,L,5,13,,27-37,5, 8.0,Estrada,Rodriguez,,3:12,D,"36,296",------,,True
5410,65,201506150,boxscore,BOS,,ATL,L,2,4,,27-38,5, 9.0,Perez,Porcello,Grilli,2:54,N,"34,439",-------,,True
5411,66,201506160,boxscore,BOS,,ATL,W,9,4,,28-38,5, 8.0,Miley,Teheran,,2:38,D,"35,662",+,,True
5412,67,201506170,boxscore,BOS,@,ATL,L,2,5,,28-39,5, 9.0,Masset,Tazawa,Grilli,3:09,N,"28,982",-,,False
5413,68,201506180,boxscore,BOS,@,ATL,W,5,2,,29-39,5, 9.0,Buchholz,Miller,Uehara,3:04,N,"31,783",+,,False
5414,69,201506190,boxscore,BOS,@,KCR,W,7,3,,30-39,5, 9.0,Rodriguez,Pino,,2:57,N,"38,190",++,,False
5415,70,201506200,boxscore,BOS,@,KCR,L,4,7,,30-40,5, 10.0,Volquez,Porcello,Holland,3:09,N,"39,115",-,,False
5416,71,201506210,boxscore,BOS,@,KCR,W,13,2,,31-40,5, 9.0,Miley,Young,,2:58,D,"37,975",+,,False
5417,72,201506230,boxscore,BOS,,BAL,L,4,6,,31-41,5, 9.5,Jimenez,Kelly,Britton,3:08,N,"36,508",-,,True
5418,73,201506240,boxscore,BOS,,BAL,W,5,1,,32-41,5, 8.5,Buchholz,Norris,,2:38,N,"37,762",+,,True
5419,74,201506250,boxscore,BOS,,BAL,L,6,8,,32-42,5, 9.0,Gonzalez,Rodriguez,Britton,3:06,D,"37,706",-,,True
5420,75,201506260,boxscore,BOS,@,TBR,W,4,3,10,33-42,5, 8.0,Ogando,Geltz,Uehara,3:23,N,"17,508",+,,False
5421,76,201506270,boxscore,BOS,@,TBR,L,1,4,,33-43,5, 9.0,Andriese,Miley,Boxberger,2:21,D,"23,876",-,,False
5422,77,201506280,boxscore,BOS,@,TBR,W,5,3,,34-43,5, 8.0,Masterson,Archer,Uehara,3:02,D,"21,963",+,,False
5423,78,201506290,boxscore,BOS,@,TOR,W,3,1,,35-43,5, 7.0,Buchholz,Dickey,Uehara,2:26,N,"27,107",++,,False
5424,79,201506300,boxscore,BOS,@,TOR,W,4,3,,36-43,5, 6.0,Rodriguez,Estrada,Uehara,3:04,N,"28,942",+++,,False
5425,80,201507010,boxscore,BOS,@,TOR,L,2,11,,36-44,5, 7.0,Buehrle,Porcello,,2:19,D,"45,392",-,,False
5426,81,201507020,boxscore,BOS,@,TOR,W,12,6,,37-44,5, 6.0,Miley,Boyd,,3:34,N,"29,758",+,,False
5427,82,201507030,boxscore,BOS,,HOU,L,8,12,10,37-45,5, 7.0,Hernandez,Ramirez,,4:23,N,"37,837",-,,True
5428,83,201507040,boxscore,BOS,,HOU,W,6,1,,38-45,5, 7.0,Buchholz,McHugh,,3:02,D,"36,703",+,,True
5429,84,201507050,boxscore,BOS,,HOU,W,5,4,,39-45,5, 6.0,Barnes,Sipp,Uehara,4:01,D,"36,481",++,,True
5430,85,201507070,boxscore,BOS,,MIA,W,4,3,,40-45,5, 5.0,Tazawa,Cishek,Uehara,2:44,N,"36,863",+++,,True
5431,86,201507080,boxscore,BOS,,MIA,W,6,3,,41-45,5, 5.0,Porcello,Koehler,Uehara,2:41,N,"37,009",++++,,True
5432,87,201507100,boxscore,BOS,,NYY,L,1,5,,41-46,5, 6.5,Pineda,Buchholz,,3:03,N,"37,984",-,,True
5433,88,201507110,boxscore,BOS,,NYY,W,5,3,,42-46,5, 5.5,Rodriguez,Nova,Uehara,3:10,N,"38,047",+,,True
5434,89,201507120,boxscore,BOS,,NYY,L,6,8,,42-47,5, 6.5,Eovaldi,Miley,,3:36,D,"37,283",-,,True
5435,90,201507170,boxscore,BOS,@,LAA,L-wo,0,1,,42-48,5, 7.5,Smith,Uehara,,2:24,N,"43,234",--,,False
5436,91,201507180,boxscore,BOS,@,LAA,L,0,3,,42-49,5, 7.5,Richards,Porcello,,2:37,N,"43,631",---,,False
5437,92,201507201,boxscore,BOS,@,LAA,L,1,11,,42-50,5, 9.0,Santiago,Rodriguez,,3:05,D,"42,503",----,,False
5438,93,201507202,boxscore,BOS,@,LAA,L,3,7,,42-51,5, 9.0,Heaney,Wright,Smith,2:34,N,"38,042",-----,2015-07-19 (Rain),False
5439,94,201507210,boxscore,BOS,@,HOU,L,3,8,,42-52,5, 10.0,Velasquez,Johnson,,3:01,N,"26,913",------,,False
5440,95,201507220,boxscore,BOS,@,HOU,L,2,4,,42-53,5, 11.0,McHugh,Kelly,Gregerson,2:44,N,"31,104",-------,,False
5441,96,201507230,boxscore,BOS,@,HOU,L-wo,4,5,,42-54,5, 12.0,Fields,Breslow,,3:31,N,"30,748",--------,,False
5442,97,201507240,boxscore,BOS,,DET,W-wo,2,1,11,43-54,5, 11.0,Masterson,Hardy,,3:42,N,"37,650",+,,True
5443,98,201507250,boxscore,BOS,,DET,L,1,5,,43-55,5, 12.0,Simon,Wright,,2:57,D,"37,256",-,,True
5444,99,201507260,boxscore,BOS,,DET,W,11,1,,44-55,5, 12.0,Rodriguez,Greene,,3:14,N,"35,582",+,,True
5445,100,201507270,boxscore,BOS,,CHW,L,8,10,,44-56,5, 13.0,Albers,Ross,Robertson,3:54,N,"37,401",-,,True
5446,101,201507280,boxscore,BOS,,CHW,L,4,9,,44-57,5, 14.0,Samardzija,Miley,,2:39,N,"38,063",--,,True
5447,102,201507290,boxscore,BOS,,CHW,L,2,9,,44-58,5, 14.0,Quintana,Porcello,,3:42,N,"37,104",---,,True
5448,103,201507300,boxscore,BOS,,CHW,W,8,2,,45-58,5, 13.0,Wright,Sale,,2:40,N,"36,215",+,,True
5449,104,201507310,boxscore,BOS,,TBR,W,7,5,,46-58,5, 13.0,Tazawa,McGee,Uehara,3:13,N,"36,715",++,,True
5450,105,201508010,boxscore,BOS,,TBR,W,11,7,,47-58,5, 12.0,Kelly,Moore,Machi,3:39,D,"35,944",+++,,True
5451,106,201508020,boxscore,BOS,,TBR,L,3,4,,47-59,5, 13.0,Geltz,Tazawa,Boxberger,3:10,D,"35,699",-,,True
5452,107,201508040,boxscore,BOS,@,NYY,L,3,13,,47-60,5, 14.0,Tanaka,Owens,,3:26,N,"48,522",--,,False
5453,108,201508050,boxscore,BOS,@,NYY,W,2,1,,48-60,5, 13.0,Wright,Severino,Uehara,2:51,N,"47,489",+,,False
5454,109,201508060,boxscore,BOS,@,NYY,L,1,2,,48-61,5, 14.0,Wilson,Rodriguez,Miller,2:54,N,"48,608",-,,False
5455,110,201508070,boxscore,BOS,@,DET,W,7,2,,49-61,5, 13.0,Kelly,Norris,Uehara,3:30,N,"38,132",+,,False
5456,111,201508080,boxscore,BOS,@,DET,L,6,7,,49-62,5, 13.0,Hardy,Tazawa,Rondon,3:11,N,"42,098",-,,False
5457,112,201508090,boxscore,BOS,@,DET,W,7,2,,50-62,5, 12.0,Owens,Verlander,,3:22,D,"38,766",+,,False
5458,113,201508110,boxscore,BOS,@,MIA,L-wo,4,5,10,50-63,5, 12.0,Morris,Breslow,,3:30,N,"31,951",-,,False
5459,114,201508120,boxscore,BOS,@,MIA,L,6,14,,50-64,5, 12.5,Barraclough,Rodriguez,,3:07,D,"26,041",--,,False
5460,115,201508140,boxscore,BOS,,SEA,W,15,1,,51-64,5, 12.5,Kelly,Montgomery,,3:30,N,"37,678",+,,True
5461,116,201508150,boxscore,BOS,,SEA,W,22,10,,52-64,5, 12.5,Miley,Hernandez,,3:21,D,"36,027",++,,True
5462,117,201508160,boxscore,BOS,,SEA,L,8,10,12,52-65,5, 12.5,Rasmussen,Breslow,Farquhar,4:24,D,"35,260",-,,True
5463,118,201508170,boxscore,BOS,,CLE,L,2,8,,52-66,5, 13.5,Salazar,Barnes,,3:12,N,"32,701",--,,True
5464,119,201508180,boxscore,BOS,,CLE,W,9,1,,53-66,5, 13.5,Rodriguez,Bauer,,2:56,N,"31,907",+,,True
5465,120,201508190,boxscore,BOS,,CLE,W,6,4,,54-66,5, 13.5,Kelly,Kluber,Tazawa,3:09,N,"32,465",++,,True
5466,121,201508200,boxscore,BOS,,KCR,W,4,1,,55-66,5, 12.5,Miley,Duffy,Tazawa,2:49,N,"35,458",+++,,True
5467,122,201508210,boxscore,BOS,,KCR,W,7,2,,56-66,5, 11.5,Owens,Cueto,,2:31,N,"35,203",++++,,True
5468,123,201508220,boxscore,BOS,,KCR,L,3,6,,56-67,5, 12.5,Ventura,Barnes,Holland,3:29,N,"37,135",-,,True
5469,124,201508230,boxscore,BOS,,KCR,L,6,8,,56-68,5, 13.0,Young,Tazawa,Davis,3:40,D,"36,151",--,,True
5470,125,201508240,boxscore,BOS,@,CHW,W,5,4,,57-68,5, 12.5,Kelly,Samardzija,Machi,3:10,N,"18,051",+,,False
5471,126,201508250,boxscore,BOS,@,CHW,L,4,5,,57-69,5, 13.5,Petricka,Miley,Robertson,3:00,N,"14,393",-,,False
5472,127,201508260,boxscore,BOS,@,CHW,W,3,0,,58-69,5, 13.5,Porcello,Jones,Tazawa,2:31,N,"17,812",+,,False
5473,128,201508280,boxscore,BOS,@,NYM,W,6,4,10,59-69,5, 13.0,Layne,Torres,Breslow,3:59,N,"39,401",++,,False
5474,129,201508290,boxscore,BOS,@,NYM,W,3,1,,60-69,5, 13.0,Kelly,deGrom,Machi,2:51,D,"43,255",+++,,False
5475,130,201508300,boxscore,BOS,@,NYM,L,4,5,,60-70,5, 14.0,Clippard,Ross,Familia,2:56,D,"38,938",-,,False
5476,131,201508310,boxscore,BOS,,NYY,W,4,3,,61-70,5, 13.0,Rodriguez,Nova,Machi,3:44,N,"36,148",+,,True
5477,132,201509010,boxscore,BOS,,NYY,L,1,3,,61-71,5, 14.0,Pineda,Porcello,Miller,2:41,N,"35,077",-,,True
5478,133,201509020,boxscore,BOS,,NYY,L,8,13,,61-72,5, 15.0,Tanaka,Owens,,3:33,D,"34,416",--,,True
5479,134,201509040,boxscore,BOS,,PHI,W,7,5,,62-72,5, 14.0,Kelly,Morgan,Ross,3:22,N,"33,674",+,,True
5480,135,201509050,boxscore,BOS,,PHI,W,9,2,,63-72,5, 14.0,Miley,Asher,,2:24,D,"36,534",++,,True
5481,136,201509060,boxscore,BOS,,PHI,W,6,2,,64-72,5, 14.0,Rodriguez,Eickhoff,,2:57,D,"34,708",+++,,True
5482,137,201509070,boxscore,BOS,,TOR,W,11,4,,65-72,4, 13.0,Porcello,Buehrle,,2:48,D,"33,659",++++,,True
5483,138,201509080,boxscore,BOS,,TOR,L,1,5,10,65-73,5, 14.0,Sanchez,Ogando,,3:23,N,"33,432",-,,True
5484,139,201509090,boxscore,BOS,,TOR,W,10,4,,66-73,5, 13.0,Kelly,Hutchison,,3:31,N,"34,464",+,,True
5485,140,201509110,boxscore,BOS,@,TBR,L,4,8,,66-74,5, 14.0,Bellatti,Tazawa,,3:26,N,"14,796",-,,False
5486,141,201509120,boxscore,BOS,@,TBR,W,10,4,,67-74,5, 14.5,Porcello,Moore,,2:56,N,"20,698",+,,False
5487,142,201509130,boxscore,BOS,@,TBR,W,2,0,13,68-74,5, 13.5,Hembree,Romero,Ross,4:05,D,"15,402",++,,False
5488,143,201509140,boxscore,BOS,@,BAL,L,0,2,,68-75,5, 14.0,Gausman,Rodriguez,Britton,2:56,N,"19,666",-,,False
5489,144,201509150,boxscore,BOS,@,BAL,L-wo,5,6,13,68-76,5, 14.0,Roe,Aro,,4:20,N,"21,260",--,,False
5490,145,201509160,boxscore,BOS,@,BAL,W,10,1,,69-76,5, 14.0,Owens,Wright,,2:51,N,"22,642",+,,False
5491,146,201509180,boxscore,BOS,@,TOR,L,1,6,,69-77,5, 15.5,Stroman,Porcello,,2:32,N,"47,126",-,,False
5492,147,201509190,boxscore,BOS,@,TOR,W,7,6,,70-77,5, 14.5,Layne,Osuna,Ross,3:08,D,"47,415",+,,False
5493,148,201509200,boxscore,BOS,@,TOR,W,4,3,,71-77,5, 13.5,Hill,Cecil,Ross,2:51,D,"46,743",++,,False
5494,149,201509210,boxscore,BOS,,TBR,W,8,7,,72-77,4, 13.5,Machi,Gomes,Ross,3:47,N,"33,673",+++,,True
5495,150,201509220,boxscore,BOS,,TBR,L,2,5,,72-78,5, 13.5,Moore,Owens,Boxberger,2:43,N,"33,673",-,,True
5496,151,201509230,boxscore,BOS,,TBR,L,2,6,,72-79,5, 14.5,Smyly,Porcello,Boxberger,3:30,N,"32,753",--,,True
5497,152,201509240,boxscore,BOS,,TBR,L,2,4,,72-80,5, 15.0,Ramirez,Miley,Boxberger,2:39,N,"34,916",---,,True
5498,153,201509250,boxscore,BOS,,BAL,W,7,0,,73-80,5, 15.0,Hill,Gausman,,2:42,N,"32,411",+,,True
5499,154,201509260,boxscore,BOS,,BAL,W,8,0,,74-80,5, 15.0,Hembree,Chen,,2:56,D,"36,316",++,,True
5500,155,201509270,boxscore,BOS,,BAL,W,2,0,,75-80,4, 15.0,Owens,Jimenez,Ross,2:28,D,"33,306",+++,,True
5501,156,201509280,boxscore,BOS,@,NYY,W,5,1,,76-80,3, 15.0,Rodriguez,Nova,,2:56,N,"39,476",++++,,False
5502,157,201509290,boxscore,BOS,@,NYY,W,10,4,,77-80,3, 14.5,Porcello,Pineda,,2:57,N,"38,512",+++++,,False
5503,158,201509300,boxscore,BOS,@,NYY,W,9,5,11,78-80,3, 14.0,Ogando,Bailey,,4:10,N,"39,328",++++++,,False
5504,159,201510010,boxscore,BOS,@,NYY,L,1,4,,78-81,3, 14.0,Sabathia,Hill,Betances,3:10,N,"40,033",-,,False
5505,160,201510020,boxscore,BOS,@,CLE,L,2,8,,78-82,4, 15.0,Tomlin,Owens,,3:00,N,"28,273",--,,False
5506,161,201510030,boxscore,BOS,@,CLE,L,0,2,,78-83,5, 15.0,Kluber,Breslow,Allen,2:41,N,"17,342",---,,False
5507,162,201510040,boxscore,BOS,@,CLE,L,1,3,,78-84,5, 15.0,Salazar,Porcello,Allen,2:46,D,"17,844",----,,False
5508,1,201504050,boxscore,CHC,,STL,L,0,3,,0-1,5, 1.0,Wainwright,Lester,Rosenthal,3:04,N,"35,055",-,,True
5509,2,201504080,boxscore,CHC,,STL,W,2,0,,1-1,2, 1.0,Arrieta,Lynn,Rondon,2:23,D,"26,814",+,,True
5510,3,201504100,boxscore,CHC,@,COL,L,1,5,,1-2,2, 2.5,Bergman,Wood,,3:01,D,"49,303",-,,False
5511,4,201504110,boxscore,CHC,@,COL,W,9,5,,2-2,2, 1.5,Hammel,Kendrick,,3:19,N,"43,812",+,,False
5512,5,201504120,boxscore,CHC,@,COL,W,6,5,,3-2,2, 0.5,Ramirez,Hawkins,Rondon,3:05,D,"41,363",++,,False
5513,6,201504130,boxscore,CHC,,CIN,W-wo,7,6,10,4-2,1,up 0.5,Rondon,Parra,,3:02,N,"26,390",+++,,True
5514,7,201504140,boxscore,CHC,,CIN,L,2,3,,4-3,2, 0.5,DeSclafani,Arrieta,Chapman,2:45,N,"27,525",-,,True
5515,8,201504150,boxscore,CHC,,CIN,W,5,0,,5-3,1,up 0.5,Wood,Marquis,,2:39,N,"29,205",+,,True
5516,9,201504170,boxscore,CHC,,SDP,L,4,5,,5-4,2, 1.0,Shields,Schlitter,Kimbrel,2:57,D,"32,138",-,,True
5517,10,201504180,boxscore,CHC,,SDP,W-wo,7,6,11,6-4,2, 1.0,Rosscup,Kimbrel,,3:49,D,"33,958",+,,True
5518,11,201504190,boxscore,CHC,,SDP,L,2,5,,6-5,2, 2.0,Cashner,Lester,Benoit,2:51,D,"29,113",-,,True
5519,12,201504200,boxscore,CHC,@,PIT,W,5,2,,7-5,2, 1.5,Arrieta,Caminero,,3:13,N,"11,777",+,,False
5520,13,201504210,boxscore,CHC,@,PIT,W,9,8,,8-5,2, 0.5,Jackson,Melancon,Rondon,3:18,N,"13,680",++,,False
5521,14,201504220,boxscore,CHC,@,PIT,L,3,4,,8-6,2, 1.5,Worley,Hammel,Watson,3:04,N,"15,101",-,,False
5522,15,201504230,boxscore,CHC,@,PIT,L,4,5,,8-7,2, 2.5,Liz,Schlitter,Melancon,3:06,D,"22,224",--,,False
5523,16,201504240,boxscore,CHC,@,CIN,W,7,3,11,9-7,2, 2.5,Motte,Badenhop,,3:48,N,"39,891",+,,False
5524,17,201504260,boxscore,CHC,@,CIN,W,5,2,,10-7,2, 2.0,Arrieta,DeSclafani,Rondon,2:46,D,"38,954",++,,False
5525,18,201504270,boxscore,CHC,,PIT,W,4,0,,11-7,2, 1.0,Hammel,Worley,,2:20,N,"29,159",+++,,True
5526,19,201504280,boxscore,CHC,,PIT,W,6,2,,12-7,2, 1.0,Wood,Locke,,2:51,N,"29,915",++++,,True
5527,20,201504290,boxscore,CHC,,PIT,L,1,8,,12-8,2, 2.0,Cole,Hendricks,,3:04,N,"30,634",-,,True
5528,21,201505010,boxscore,CHC,,MIL,W,1,0,,13-8,2, 2.5,Lester,Peralta,Rondon,2:39,D,"31,128",+,,True
5529,22,201505020,boxscore,CHC,,MIL,L,1,6,,13-9,2, 3.5,Fiers,Arrieta,,3:05,D,"34,878",-,,True
5530,23,201505030,boxscore,CHC,,MIL,L,3,5,,13-10,2, 4.5,Smith,Strop,Rodriguez,3:01,D,"33,398",--,,True
5531,24,201505040,boxscore,CHC,@,STL,L,9,10,,13-11,2, 5.5,Socolovich,Strop,Maness,3:39,N,"41,981",---,,False
5532,25,201505050,boxscore,CHC,@,STL,L,4,7,,13-12,2, 6.5,Harris,Jackson,Rosenthal,3:13,N,"41,613",----,,False
5533,26,201505060,boxscore,CHC,@,STL,W,6,5,,14-12,2, 5.5,Lester,Lynn,Rondon,2:56,N,"42,207",+,,False
5534,27,201505070,boxscore,CHC,@,STL,L,1,5,,14-13,2, 6.5,Lackey,Arrieta,Rosenthal,2:53,D,"44,472",-,,False
5535,28,201505080,boxscore,CHC,@,MIL,W,7,6,,15-13,2, 6.5,Hammel,Nelson,,3:03,N,"38,283",+,,False
5536,29,201505090,boxscore,CHC,@,MIL,L,4,12,,15-14,2, 6.5,Lohse,Wood,,3:03,N,"39,600",-,,False
5537,30,201505100,boxscore,CHC,@,MIL,L-wo,2,3,11,15-15,2, 6.5,Blazek,Motte,,3:26,D,"41,467",--,,False
5538,31,201505110,boxscore,CHC,,NYM,W,4,3,,16-15,2, 6.0,Lester,deGrom,Rondon,2:56,N,"32,980",+,,True
5539,32,201505120,boxscore,CHC,,NYM,W,6,1,,17-15,2, 6.0,Arrieta,Syndergaard,,2:55,N,"31,542",++,,True
5540,33,201505130,boxscore,CHC,,NYM,W-wo,2,1,,18-15,2, 5.0,Rondon,Torres,,2:37,N,"33,709",+++,,True
5541,34,201505140,boxscore,CHC,,NYM,W,6,5,,19-15,2, 5.0,Strop,Niese,Rondon,2:49,D,"31,496",++++,,True
