,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
43,44,201405200,boxscore,ATL,,MIL,W,5,0,,25-19,1,up 1.5,Teheran,Gallardo,,2:53,N,"20,045",+++,,True
44,45,201405210,boxscore,ATL,,MIL,L,1,6,,25-20,1,up 1.5,Lohse,Santana,,2:26,N,"18,148",-,,True
45,46,201405220,boxscore,ATL,,MIL,W,5,4,,26-20,1,up 2.0,Wood,Kintzler,Kimbrel,3:36,N,"30,148",+,,True
46,47,201405230,boxscore,ATL,,COL,W,3,2,,27-20,1,up 3.0,Carpenter,Ottavino,Kimbrel,3:13,N,"25,646",++,,True
47,48,201405240,boxscore,ATL,,COL,L,1,3,,27-21,1,up 2.0,Nicasio,Minor,Hawkins,3:10,D,"26,741",-,,True
48,49,201405250,boxscore,ATL,,COL,W,7,0,,28-21,1,up 3.0,Teheran,Morales,,2:48,N,"35,565",+,,True
49,50,201405260,boxscore,ATL,,BOS,L,6,8,,28-22,1,up 2.0,Mujica,Thomas,Uehara,3:40,D,"48,501",-,,True
50,51,201405270,boxscore,ATL,,BOS,L,3,6,,28-23,1,up 1.5,Lester,Varvaro,Uehara,3:32,N,"37,168",--,,True
51,52,201405280,boxscore,ATL,@,BOS,L,0,4,,28-24,1,up 0.5,Lackey,Floyd,,3:09,N,"36,189",---,,False
52,53,201405290,boxscore,ATL,@,BOS,L-wo,3,4,,28-25,1, Tied,Uehara,Kimbrel,,3:00,N,"36,292",----,,False
53,54,201405300,boxscore,ATL,@,MIA,W,3,2,,29-25,1,up 1.0,Teheran,Koehler,Kimbrel,2:53,N,"18,469",+,,False
54,55,201405310,boxscore,ATL,@,MIA,W,9,5,,30-25,1,up 2.0,Santana,Turner,Kimbrel,3:28,D,"26,875",++,,False
55,56,201406010,boxscore,ATL,@,MIA,W,4,2,,31-25,1,up 3.0,Wood,Cishek,Simmons,2:39,D,"21,997",+++,,False
56,57,201406030,boxscore,ATL,,SEA,L,5,7,,31-26,1,up 1.5,Leone,Wood,Rodney,3:08,N,"36,503",-,,True
57,58,201406040,boxscore,ATL,,SEA,L,0,2,,31-27,1,up 0.5,Iwakuma,Minor,Rodney,2:51,D,"26,960",--,,True
58,59,201406060,boxscore,ATL,@,ARI,W,5,2,,32-27,1,up 1.0,Teheran,McCarthy,Kimbrel,3:03,N,"24,504",+,,False
59,60,201406070,boxscore,ATL,@,ARI,L-wo,3,4,11,32-28,1,up 1.0,Delgado,Carpenter,,3:31,N,"29,278",-,,False
60,61,201406080,boxscore,ATL,@,ARI,L,5,6,,32-29,1, Tied,Anderson,Harang,Ziegler,3:07,D,"26,534",--,,False
61,62,201406090,boxscore,ATL,@,COL,W,3,1,,33-29,1, Tied,Floyd,Bergman,Kimbrel,2:55,N,"28,817",+,,False
62,63,201406100,boxscore,ATL,@,COL,W,13,10,,34-29,1, Tied,Hale,Nicasio,Kimbrel,3:49,N,"27,875",++,,False
63,64,201406110,boxscore,ATL,@,COL,L,2,8,,34-30,2, 1.0,Matzek,Teheran,,2:40,N,"29,112",-,,False
64,65,201406120,boxscore,ATL,@,COL,L,3,10,,34-31,2, 1.0,Chacin,Santana,,2:39,D,"33,648",--,,False
65,66,201406130,boxscore,ATL,,LAA,W,4,3,,35-31,1, Tied,Harang,Wilson,Kimbrel,2:59,N,"39,699",+,,True
66,67,201406140,boxscore,ATL,,LAA,L,6,11,13,35-32,1, Tied,Salas,Hale,,4:57,N,"48,559",-,,True
67,68,201406150,boxscore,ATL,,LAA,W,7,3,,36-32,1,up 1.0,Varvaro,Santiago,Kimbrel,3:31,N,"29,320",+,,True
68,69,201406160,boxscore,ATL,,PHI,L,1,6,13,36-33,1,up 0.5,Bastardo,Hale,,4:47,N,"23,900",-,,True
69,70,201406170,boxscore,ATL,,PHI,L,2,5,,36-34,2, 0.5,Kendrick,Santana,Papelbon,3:05,N,"41,631",--,,True
70,71,201406180,boxscore,ATL,,PHI,L,5,10,,36-35,2, 1.5,Hernandez,Harang,,3:32,D,"28,500",---,,True
71,72,201406190,boxscore,ATL,@,WSN,W,3,0,,37-35,2, 0.5,Floyd,Zimmermann,Kimbrel,2:56,N,"32,193",+,,False
72,73,201406200,boxscore,ATL,@,WSN,W,6,4,13,38-35,1,up 0.5,Buchter,Blevins,Walden,4:34,N,"36,608",++,,False
73,74,201406210,boxscore,ATL,@,WSN,L,0,3,,38-36,2, 0.5,Fister,Teheran,Soriano,2:44,N,"40,677",-,,False
74,75,201406220,boxscore,ATL,@,WSN,L,1,4,,38-37,2, 1.5,Roark,Santana,Soriano,2:54,D,"39,473",--,,False
75,76,201406240,boxscore,ATL,@,HOU,W,3,2,,39-37,2, 2.0,Harang,Feldman,Kimbrel,3:06,N,"18,912",+,,False
76,77,201406250,boxscore,ATL,@,HOU,W,4,0,,40-37,2, 1.0,Wood,McHugh,,2:33,N,"20,559",++,,False
77,78,201406260,boxscore,ATL,@,HOU,L,1,6,,40-38,2, 1.0,Cosart,Minor,,2:52,D,"24,474",-,,False
78,79,201406270,boxscore,ATL,@,PHI,W,4,2,,41-38,1, Tied,Teheran,Kendrick,Kimbrel,3:11,N,"38,100",+,,False
79,80,201406281,boxscore,ATL,@,PHI,W,10,3,,42-38,1, Tied,Santana,Hernandez,,3:08,D,"28,845",++,,False
80,81,201406282,boxscore,ATL,@,PHI,W,5,1,,43-38,1, Tied,Hale,O'Sullivan,,3:09,N,"30,845",+++,2014-04-15 (Rain),False
81,82,201406290,boxscore,ATL,@,PHI,W,3,2,,44-38,1,up 0.5,Harang,Buchanan,Kimbrel,3:06,D,"33,215",++++,,False
82,83,201406300,boxscore,ATL,,NYM,W,5,3,,45-38,1,up 0.5,Varvaro,Familia,Kimbrel,3:25,N,"28,075",+++++,,True
83,84,201407010,boxscore,ATL,,NYM,W,5,4,,46-38,1,up 0.5,Simmons,Matsuzaka,Kimbrel,3:17,N,"21,347",++++++,,True
84,85,201407020,boxscore,ATL,,NYM,W,3,1,,47-38,1,up 0.5,Teheran,deGrom,Walden,3:11,N,"23,601",+++++++,,True
85,86,201407040,boxscore,ATL,,ARI,W,5,2,,48-38,1,up 1.5,Santana,Collmenter,Kimbrel,2:54,N,"48,815",++++++++,,True
86,87,201407050,boxscore,ATL,,ARI,W,10,4,,49-38,1,up 1.5,Harang,Bolsinger,,3:00,D,"30,405",+++++++++,,True
87,88,201407060,boxscore,ATL,,ARI,L,1,3,,49-39,1,up 0.5,Miley,Wood,Reed,2:43,D,"23,709",-,,True
88,89,201407070,boxscore,ATL,@,NYM,L-wo,3,4,11,49-40,1,up 0.5,Torres,Varvaro,,3:50,N,"20,836",--,,False
89,90,201407080,boxscore,ATL,@,NYM,L,3,8,,49-41,1, Tied,deGrom,Teheran,,3:20,N,"20,671",---,,False
90,91,201407090,boxscore,ATL,@,NYM,L,1,4,,49-42,2, 1.0,Gee,Santana,Mejia,2:23,N,"21,327",----,,False
91,92,201407100,boxscore,ATL,@,NYM,W,3,1,,50-42,1, Tied,Harang,Colon,Kimbrel,2:50,N,"23,528",+,,False
92,93,201407110,boxscore,ATL,@,CHC,L-wo,4,5,,50-43,1, Tied,Rondon,Walden,,3:01,D,"39,544",-,,False
93,94,201407120,boxscore,ATL,@,CHC,W,11,6,,51-43,1, Tied,Minor,Jackson,Carpenter,3:02,D,"36,806",+,,False
94,95,201407130,boxscore,ATL,@,CHC,W,10,7,,52-43,1, Tied,Teheran,Wood,Kimbrel,3:18,D,"36,363",++,,False
95,96,201407180,boxscore,ATL,,PHI,W,6,4,,53-43,1,up 1.0,Santana,Burnett,Kimbrel,2:45,N,"39,747",+++,,True
96,97,201407190,boxscore,ATL,,PHI,L,1,2,,53-44,1, Tied,Hamels,Simmons,Papelbon,2:57,N,"38,602",-,,True
97,98,201407200,boxscore,ATL,,PHI,W,8,2,,54-44,1, Tied,Wood,Kendrick,,2:44,D,"24,859",+,,True
98,99,201407210,boxscore,ATL,,MIA,L,1,3,10,54-45,2, 1.0,Morris,Simmons,Cishek,3:36,N,"26,766",-,,True
99,100,201407220,boxscore,ATL,,MIA,L,5,6,,54-46,2, 2.0,Turner,Minor,Cishek,3:13,N,"22,998",--,,True
100,101,201407230,boxscore,ATL,,MIA,W,6,1,,55-46,2, 1.0,Santana,Eovaldi,,2:42,N,"20,102",+,,True
101,102,201407240,boxscore,ATL,,MIA,L,2,3,,55-47,2, 1.5,Alvarez,Kimbrel,Cishek,2:33,N,"26,446",-,,True
102,103,201407250,boxscore,ATL,,SDP,L,2,5,,55-48,2, 2.5,Hahn,Wood,Benoit,3:08,N,"31,647",--,,True
103,104,201407260,boxscore,ATL,,SDP,W,5,3,,56-48,2, 1.5,Teheran,Despaigne,Kimbrel,3:26,N,"33,820",+,,True
104,105,201407270,boxscore,ATL,,SDP,W,8,3,,57-48,2, 1.5,Minor,Stults,,2:56,N,"31,456",++,,True
105,106,201407280,boxscore,ATL,,SDP,W,2,0,,58-48,2, 0.5,Santana,Lane,Kimbrel,2:33,D,"23,281",+++,,True
106,107,201407290,boxscore,ATL,@,LAD,L,4,8,,58-49,2, 0.5,League,Varvaro,Jansen,3:46,N,"49,630",-,,False
107,108,201407300,boxscore,ATL,@,LAD,L-wo,2,3,10,58-50,2, 1.5,Howell,Hale,,3:25,N,"47,386",--,,False
108,109,201407310,boxscore,ATL,@,LAD,L,1,2,,58-51,2, 1.5,Kershaw,Teheran,,2:35,N,"51,163",---,,False
109,110,201408010,boxscore,ATL,@,SDP,L,1,10,,58-52,2, 1.5,Stults,Minor,,3:09,N,"33,779",----,,False
110,111,201408020,boxscore,ATL,@,SDP,L-wo,2,3,12,58-53,2, 2.5,Stauffer,Kimbrel,,4:35,N,"39,402",-----,,False
111,112,201408030,boxscore,ATL,@,SDP,L-wo,3,4,10,58-54,2, 3.5,Stauffer,Hale,,4:01,D,"30,861",------,,False
112,113,201408050,boxscore,ATL,@,SEA,L,2,4,,58-55,2, 3.0,Hernandez,Wood,Rodney,2:29,N,"24,496",-------,,False
113,114,201408060,boxscore,ATL,@,SEA,L,3,7,,58-56,2, 4.0,Young,Teheran,,2:53,D,"30,770",--------,,False
114,115,201408080,boxscore,ATL,,WSN,W,7,6,,59-56,2, 3.5,Santana,Strasburg,Kimbrel,2:47,N,"32,707",+,,True
