Tm,stadium_cap
ARI,48686
ATL,41084
BAL,45971
BOS,37755
CHC,41649
CHW,40615
CIN,42319
CLE,35041
COL,46897
DET,41299
HOU,41168
KCR,37903
LAA,45477
LAD,56000
MIA,36742
MIL,41900
MIN,38649
NYM,41922
NYY,47309
OAK,47170
PHI,43651
PIT,38362
SDP,40209
SFG,41915
SEA,47715
STL,45529
TBR,31042
TEX,48114
TOR,49282
WSN,41339
